1,2,3,4,5,6,Bowler Name,Batter Name
0,0,0,0,0,0,Rahul,Rohit
0,0,0,0,0,0,Hritik,Rohit
2,0,0,0,Caught,Null,Rahul,Rohit
0,0,0,0,0,Edged_Off,Rahul,Hritik
0,0,0,0,0,0,Rohit,Rahul
0,0,0,Edged_Off,Null,Null,Hritik,Rahul
Edged_Off,Null,Null,Null,Null,Null,Hritik,Rohit
0,0,0,Bowled,Null,Null,Hritik,Rahul
0,0,0,0,0,0,Rohit,Hritik
0,0,0,0,0,4,Rahul,Hritik
0,0,0,0,0,2,Rohit,Hritik
0,0,0,0,4,0,Rahul,Hritik
0,0,0,Edged_Off,Null,Null,Rohit,Hritik
0,0,0,0,0,0,Hritik,Rahul
0,0,4,0,Edged_Off,Null,Rohit,Rahul
Edged_Off,Null,Null,Null,Null,Null,Hritik,Rohit
0,0,0,0,0,0,Rahul,Hritik
0,0,0,0,0,0,Rohit,Hritik
0,0,Edged_Off,Null,Null,Null,Rahul,Hritik
Box,Null,Null,Null,Null,Null,Rahul,Hritik
0,0,0,0,0,2,Rahul,Rohit
0,2,0,0,0,0,Hritik,Rohit
4,0,0,0,4,0,Rahul,Rohit
0,0,0,0,0,0,Hritik,Rohit
2,0,0,0,0,0,Rahul,Rohit
0,0,0,0,0,0,Hritik,Rohit
0,0,2,Edged_Off,Null,Null,Rahul,Rohit
Bowled,Null,Null,Null,Null,Null,Hritik,Rahul
0,0,Bowled,Null,Null,Null,Hritik,Rohit
0,0,0,0,Caught,Null,Hritik,Rahul
0,0,0,0,0,0,Rohit,Hritik
0,0,0,0,0,0,Rahul,Hritik
0,0,0,Edged_Off,Null,Null,Rohit,Hritik
0,Bowled,Null,Null,Null,Null,Rohit,Rahul
0,0,0,0,0,0,Rohit,Hritik
0,0,0,0,Edged_Leg,Null,Rahul,Hritik
2,0,0,0,0,2,Rahul,Rohit
0,0,0,0,0,0,Hritik,Rohit
0,0,0,0,0,0,Rahul,Rohit
2,0,0,2,0,0,Hritik,Rohit
0,0,0,0,2,0,Rahul,Rohit
0,0,0,0,Box,Null,Hritik,Rohit
Edged_Off,Null,Null,Null,Null,Null,Hritik,Rahul
0,Edged_Off,Null,Null,Null,Null,Hritik,Rohit
0,0,2,0,0,2,Rahul,Hritik
0,0,0,2,0,0,Rohit,Hritik
0,0,4,0,0,0,Rahul,Hritik
0,2,0,0,0,Box,Rohit,Hritik
0,0,0,0,0,2,Rohit,Hritik
0,0,0,0,0,0,Rahul,Hritik
0,0,0,0,0,0,Rohit,Hritik
0,0,0,0,0,0,Rahul,Hritik
2,2,0,0,0,0,Rohit,Hritik
4,4,0,0,0,Box,Rahul,Hritik
0,Edged_Off,Null,Null,Null,Null,Rohit,Rahul
0,0,0,0,0,0,Hritik,Rohit
0,0,0,0,0,0,Rahul,Rohit
2,0,0,0,0,0,Hritik,Rohit
2,0,0,0,0,4,Rahul,Rohit
0,0,0,0,0,0,Hritik,Rohit
0,0,0,0,0,0,Rahul,Rohit
2,0,0,0,LBW,Null,Hritik,Rohit
0,0,Edged_Off,Null,Null,Null,Rahul,Hritik
0,2,0,0,0,0,Rahul,Rohit
0,2,0,0,0,Box,Hritik,Rohit
0,0,0,0,0,0,Hritik,Rahul
0,2,0,0,6,Bowled,Rohit,Rahul
0,0,0,0,0,0,Rohit,Rahul
0,0,0,0,0,0,Hritik,Rahul
2,0,0,2,0,0,Rohit,Rahul
0,0,0,0,Bowled,Null,Hritik,Rahul
0,Edged_Off,Null,Null,Null,Null,Rohit,Hritik
Edged_Off,Null,Null,Null,Null,Null,Rahul,Rohit
0,0,0,0,0,0,Hritik,Rohit
2,2,0,0,0,0,Rahul,Rohit
Edged_Leg,Null,Null,Null,Null,Null,Hritik,Rohit
0,Edged_Off,Null,Null,Null,Null,Hritik,Rahul
2,0,0,0,0,0,Rohit,Hritik
0,0,Box,Null,Null,Null,Rahul,Hritik
0,0,0,0,0,0,Rohit,Rahul
0,0,0,0,0,2,Hritik,Rahul
0,0,0,0,0,0,Rohit,Rahul
0,0,2,0,0,0,Hritik,Rahul
0,0,0,0,0,0,Rohit,Rahul
0,0,2,0,0,0,Hritik,Rahul
Box,Null,Null,Null,Null,Null,Rohit,Rahul
0,0,0,0,0,0,Rohit,Hritik
0,0,0,0,2,0,Rahul,Hritik
0,0,0,Caught,Null,Null,Rohit,Hritik
0,Edged_Off,Null,Null,Null,Null,Rahul,Rohit
0,2,0,0,2,Box,Rahul,Hritik
2,0,0,0,0,0,Rahul,Rohit
0,0,0,0,0,0,Hritik,Rohit
Box,Null,Null,Null,Null,Null,Rahul,Rohit
0,0,Edged_Leg,Null,Null,Null,Hritik,Rahul
Box,Null,Null,Null,Null,Null,Rahul,Rohit
0,0,0,0,0,Edged_Off,Rahul,Hritik
0,0,0,0,0,0,Rohit,Rahul
0,0,0,0,0,0,Hritik,Rahul
0,0,0,0,0,0,Rohit,Rahul
0,0,4,0,0,0,Hritik,Rahul
0,4,0,0,0,0,Rohit,Rahul
Bowled,Null,Null,Null,Null,Null,Hritik,Rahul
0,0,0,0,2,0,Rohit,Hritik
0,0,0,0,0,0,Rahul,Hritik
0,Edged_Off,Null,Null,Null,Null,Rohit,Hritik
0,0,0,0,0,0,Rohit,Rahul
0,0,0,2,0,0,Hritik,Rahul
0,2,Caught,Null,Null,Null,Rohit,Rahul
0,0,0,0,0,0,Hritik,Rohit
0,0,0,0,0,0,Rahul,Rohit
0,0,0,0,0,0,Hritik,Rohit
2,2,0,0,0,0,Rahul,Rohit
0,0,0,0,Edged_Off,Null,Hritik,Rohit
0,0,0,0,0,0,Rahul,Rohit
0,0,0,Edged_Off,Null,Null,Hritik,Rohit
0,0,0,0,0,0,Rahul,Hritik
0,2,0,Bowled,Null,Null,Rohit,Hritik
0,0,0,Edged_Off,Null,Null,Rohit,Rahul
4,2,0,0,0,0,Hritik,Rohit
2,0,0,0,0,0,Rahul,Rohit
4,0,0,0,0,2,Hritik,Rohit
0,Box,Null,Null,Null,Null,Rahul,Rohit
0,0,0,0,0,0,Hritik,Rahul
0,0,0,0,0,0,Rohit,Rahul
0,0,0,0,0,0,Hritik,Rahul
0,2,0,0,0,0,Rohit,Rahul
Edged_Off,Null,Null,Null,Null,Null,Hritik,Rahul
0,2,0,0,0,0,Rohit,Hritik
Edged_Off,Null,Null,Null,Null,Null,Rahul,Hritik
0,0,0,0,2,0,Rahul,Hritik
0,Edged_Off,Null,Null,Null,Null,Rohit,Hritik
0,2,0,0,2,0,Rahul,Rohit
0,0,Bowled,Null,Null,Null,Hritik,Rohit
2,0,0,0,0,0,Hritik,Rahul
0,0,0,0,0,0,Rohit,Rahul
0,0,0,0,Bowled,Null,Hritik,Rahul
